restaurant_id,name,borough,address,zipcode,cuisine,inspection_grade,inspection_score,inspection_date,latitude,longitude
50111559,DOUGH DOUGHNUTS,Manhattan,"10 ROCKEFELLER PLZ, Manhattan, NY 10020",10020,Donuts,Z,42.0,2026-06-17,40.758097016789,-73.979165292282
50152959,GONG CHA,Manhattan,"42 MOTT STREET, Manhattan, NY 10013",10013,Coffee/Tea,,27.0,2026-06-17,40.715168049306,-73.998748272846
41562415,THE COMFORT DINER,Manhattan,"214 EAST   45 STREET, Manhattan, NY 10017",10017,American,Z,26.0,2026-06-17,40.752441405529,-73.972489845978
50181856,SUNDAY MORNING,Manhattan,"11 WEST   25 STREET, Manhattan, NY 10010",10010,Bakery Products/Desserts,Z,23.0,2026-06-17,40.743257522665,-73.989678804521
50117809,MING WONG,Manhattan,"61 MOTT STREET, Manhattan, NY 10013",10013,Chinese,Z,42.0,2026-06-17,40.71596128159,-73.998297342146
50119902,MASSERIA EAST,Manhattan,"1404 3RD AVE, Manhattan, NY 10075",10075,Italian,N,42.0,2026-06-17,40.774800906366,-73.956926427738
50180580,DUNKIN' BASKIN ROBINS,Manhattan,"201 WEST  145 STREET, Manhattan, NY 10039",10039,Donuts,A,12.0,2026-06-17,40.821846310549,-73.939560259174
50084817,456 NEW SHANGHAI RESTAURANT,Manhattan,"69 MOTT STREET, Manhattan, NY 10013",10013,Chinese,,40.0,2026-06-17,40.716167137274,-73.998171080067
41396810,PEACEFOOD,Manhattan,"460 AMSTERDAM AVENUE, Manhattan, NY 10024",10024,Vegan,,28.0,2026-06-17,40.78523396425,-73.976809556989
50171765,SEMICOLON CAFE,Manhattan,"516A 3 AVENUE, Manhattan, NY 10016",10016,Coffee/Tea,,,2026-06-17,40.746091190562,-73.977862616496
50015433,FRUCES,Manhattan,"1496 AMSTERDAM AVENUE, Manhattan, NY 10031",10031,"Juice, Smoothies, Fruit Salads",Z,22.0,2026-06-17,40.818097718134,-73.952830188244
50163161,SUPERHET COFFEE,Manhattan,"390 MANHATTAN AVENUE, Manhattan, NY 10026",10026,American,,21.0,2026-06-17,40.805393755815,-73.956538110413
50178746,PURA VIDA MIAMI,Manhattan,"100 5 AVENUE, Manhattan, NY 10011",10011,Californian,N,35.0,2026-06-17,40.736873453731,-73.992992365827
50181207,GANACHE COFFEE,Manhattan,"2217 FREDERICK DOUGLASS BOULEVARD, Manhattan, NY ",,Other,N,28.0,2026-06-17,0.0,0.0
50164638,SHAWARMA BAY,Manhattan,"401 EAST   57 STREET, Manhattan, NY 10022",10022,Afghan,Z,55.0,2026-06-17,40.758166916485,-73.962582672855
50086327,ETC.,Manhattan,"20 EAST   46 STREET, Manhattan, NY 10017",10017,American,,37.0,2026-06-17,40.75558809138,-73.978011046346
50182935,SAVOUR,Manhattan,"3360 BROADWAY, Manhattan, NY 10031",10031,Korean,N,22.0,2026-06-17,40.820541306275,-73.954736122649
41081510,CHOP'T,Manhattan,"60 EAST   56 STREET, Manhattan, NY 10022",10022,Salads,A,9.0,2026-06-17,40.761350839717,-73.97226234471
50154496,NIGHTLY'S,Manhattan,"1496 2 AVENUE, Manhattan, NY 10075",10075,American,A,13.0,2026-06-17,40.772549706788,-73.955613702549
50080585,BLUESTONE LANE,Manhattan,"400 MADISON AVENUE, Manhattan, NY 10017",10017,Coffee/Tea,,,2026-06-17,40.756257567292,-73.976765541216
50125310,PREVITI PIZZA,Manhattan,"344 E 34TH ST, Manhattan, NY 10016",10016,Pizza,,35.0,2026-06-17,40.744196612185,-73.974525052212
40885315,PATSY'S PIZZERIA,Manhattan,"204 EAST   60 STREET, Manhattan, NY 10022",10022,Pizza,A,11.0,2026-06-17,40.761996838475,-73.965731893844
50073861,JOE & THE JUICE,Manhattan,"343 AMSTERDAM AVENUE, Manhattan, NY 10024",10024,"Juice, Smoothies, Fruit Salads",A,9.0,2026-06-17,40.781347927802,-73.979620181908
50171757,INDAY ROCKEFELLER,Manhattan,"1 ROCKEFELLER PLAZA, Manhattan, NY 10020",10020,Indian,N,66.0,2026-06-17,40.757896671605,-73.97928808179
40367752,GRIFFIS FACULTY CLUB,Manhattan,"521 EAST   68 STREET, Manhattan, NY 10065",10065,American,A,11.0,2026-06-17,40.764156112386,-73.955283592822
41364268,LAVAGNA,Manhattan,"545 EAST    5 STREET, Manhattan, NY 10009",10009,Italian,,27.0,2026-06-17,40.724408475977,-73.983321210016
41223822,CHIRPING CHICKEN,Manhattan,"355 AMSTERDAM AVENUE, Manhattan, NY 10024",10024,Chicken,A,10.0,2026-06-17,40.781734888276,-73.979342023471
50007666,BIBI WINE BAR,Manhattan,"211 EAST    4 STREET, Manhattan, NY 10009",10009,New American,A,13.0,2026-06-17,40.723749775135,-73.983620818689
40564625,WAKAMBA,Manhattan,"543 8 AVENUE, Manhattan, NY 10018",10018,American,,,2026-06-17,40.754253219151,-73.991969068086
40932950,HOTEL CARLYLE - EMPLOYEE CAFETERIA,Manhattan,"35 EAST   76 STREET, Manhattan, NY 10021",10021,American,A,10.0,2026-06-17,40.77425965477,-73.963284863567
50186471,PIZZA COFFEE SHOP MAMA VIOLA,Manhattan,"3594 BROADWAY, Manhattan, NY 10031",10031,Pizza,N,7.0,2026-06-17,40.828150151162,-73.949180694828
50135850,CAVIAR KASPIA AT THE MARK,Manhattan,"992 MADISON AVE, Manhattan, NY 10075",10075,French,,18.0,2026-06-17,40.775093976721,-73.963024442778
50060293,AOC EAST,Manhattan,"1590 1 AVENUE, Manhattan, NY 10028",10028,French,A,8.0,2026-06-17,40.774675000757,-73.950965542193
