cuisine,seat_density,turnover_rate,takeaway_ratio
American,0.06,1.2,0.2
Coffee/Tea,0.083,3.0,0.7
Italian,0.055,1.0,0.1
Japanese,0.055,1.0,0.15
Chinese,0.06,1.2,0.3
Pizza,0.067,1.8,0.5
Bakery Products/Desserts,0.083,3.0,0.7
Mexican,0.067,1.8,0.4
Other,0.06,1.1,0.2
French,0.05,0.8,0.05
"Juice, Smoothies, Fruit Salads",0.083,3.0,0.8
Latin American,0.06,1.2,0.2
Sandwiches,0.083,2.5,0.6
Asian/Asian Fusion,0.06,1.1,0.2
Korean,0.055,1.0,0.15
Mediterranean,0.06,1.2,0.2
Donuts,0.083,3.0,0.8
Indian,0.055,1.0,0.15
Chicken,0.067,2.0,0.5
Thai,0.055,1.0,0.15
Frozen Desserts,0.083,3.0,0.8
Hamburgers,0.083,2.5,0.6
Spanish,0.055,0.9,0.1
Tex-Mex,0.067,1.8,0.4
New American,0.05,0.8,0.05
Irish,0.055,1.0,0.1
Bagels/Pretzels,0.083,3.0,0.8
Salads,0.083,2.5,0.6
Seafood,0.05,0.8,0.05
Jewish/Kosher,0.06,1.1,0.15
Sandwiches/Salads/Mixed Buffet,0.083,2.5,0.6
