borough,block,lot,bbl,address,zipcode,latitude,longitude,landuse,lotarea,bldgarea,comarea,retailarea,officearea,resarea,numfloors,unitsres,unitstotal,yearbuilt,commercial_area_proxy,has_commercial_space
MN,1559,19,1015590019.0,1493 YORK AVENUE,10075.0,40.771901,-73.9505996,4.0,31058.0,277073.0,37000.0,25000.0,0.0,240073.0,13.0,233.0,238.0,1956.0,37000.0,1
MN,1561,8,1015610008.0,409 EAST 81 STREET,10028.0,40.773526,-73.9508151,2.0,2554.0,7520.0,0.0,0.0,0.0,7520.0,5.0,20.0,20.0,1900.0,0.0,0
MN,1559,33,1015590033.0,420 EAST 80 STREET,10075.0,40.77228,-73.9510326,4.0,15300.0,137238.0,7000.0,0.0,0.0,130238.0,13.0,156.0,157.0,1961.0,7000.0,1
MN,1560,126,1015600126.0,1525 YORK AVENUE,10028.0,40.7726006,-73.9498951,5.0,1190.0,2490.0,2490.0,2490.0,0.0,0.0,3.0,0.0,2.0,1900.0,2490.0,1
MN,1560,21,1015600021.0,1511 YORK AVENUE,10075.0,40.7724416,-73.9502238,4.0,17824.0,223798.0,18117.0,0.0,0.0,205681.0,20.0,148.0,150.0,1966.0,18117.0,1
MN,1560,25,1015600025.0,1523 YORK AVENUE,10028.0,40.7725402,-73.9499385,4.0,2380.0,5030.0,2380.0,2380.0,0.0,2650.0,3.0,4.0,6.0,1920.0,2380.0,1
MN,1559,46,1015590046.0,404 EAST 80 STREET,10075.0,40.7726453,-73.9517977,2.0,1838.0,7126.0,0.0,0.0,0.0,7126.0,5.0,10.0,10.0,1910.0,0.0,0
MN,1559,10,1015590010.0,425 EAST 79 STREET,10075.0,40.7720742,-73.951318,3.0,21351.0,184816.0,11000.0,0.0,2000.0,173816.0,14.0,186.0,193.0,1955.0,11000.0,1
MN,1560,5,1015600005.0,415 EAST 80 STREET,10075.0,40.7729389,-73.9513968,3.0,10217.0,42570.0,0.0,0.0,0.0,42570.0,5.0,79.0,79.0,1959.0,0.0,0
MN,1561,15,1015610015.0,423 EAST 81 STREET,10028.0,40.7732924,-73.9502628,2.0,2554.0,10448.0,0.0,0.0,0.0,10448.0,5.5,20.0,20.0,1915.0,0.0,0
