,restaurant_id,original_name,original_address,matched_name,google_id,matched_address,latitude,longitude,day,hour,busyness_score,typical_time_spent,rating,reviews,weekday,demand_month,taxi_zone_id,taxi_zone_name,estimated_area_sqft,capacity,turnover_rate,takeaway_ratio,eat_in_ratio,dropoff_count
0,40364347,METROPOLITAN CLUB,"1 EAST   60 STREET, MANHATTAN, NY 10022",Metropolitan Club,0x89c258f023b8b8d9:0x3c50d37e5c56f446,,40.7646941,-73.9718947,7,4,24,,4.7,362,6,6,237,Upper East Side South,2508.15,150.489,1.2,0.2,0.8,96
1,40364389,OLD TOWN BAR,"45 EAST   18 STREET, MANHATTAN, NY 10003",Old Town Bar,0x89c259a22241efc3:0x47fed87e18b07624,,40.7376111,-73.9891583,7,6,0,People typically spend 1-2.5 hours here,4.4,1815,6,6,234,Union Sq,2216.0,132.96,1.2,0.2,0.8,50
2,40364439,SEVILLA,"62 CHARLES STREET, MANHATTAN, NY 10014",Sevilla,0x89c259945b9f1da7:0x244dab1374bbef81,,40.7348417,-74.00300829999999,7,6,0,People typically spend 1.5-3 hours here,4.3,1331,6,6,249,West Village,1317.6,72.46799999999999,0.9,0.1,0.9,30
3,40364715,OLD HOMESTEAD,"56 9 AVENUE, MANHATTAN, NY 10011",Old Homestead Steakhouse,0x89c259bf0ca5edef:0xba792d711f483abf,,40.7412007,-74.0047629,7,6,0,People typically spend 1.5-3 hours here,4.2,2464,6,6,68,East Chelsea,853.25,51.195,1.2,0.2,0.8,303
4,40365387,ARTURO'S,"106 WEST HOUSTON STREET, MANHATTAN, NY 10012",Arturo's Coal Oven Pizza,0x89c259c275d06efd:0x4a9d30fca24c8fd4,,40.7274031,-74.0004209,7,6,0,People typically spend 1.5-4 hours here,4.5,654,6,6,114,Greenwich Village South,328.0,18.04,1.0,0.1,0.9,15
5,40365789,PATSY'S ITALIAN RESTAURANT,"236 WEST   56 STREET, MANHATTAN, NY 10019",Patsy's Italian Restaurant,0x89c258f7fcad6cdb:0xa98fe24a9c1cfe15,,40.7656391,-73.9827408,7,6,0,People typically spend 1.5-4 hours here,4.3,2164,6,6,163,Midtown North,700.0,38.5,1.0,0.1,0.9,74
6,40365882,NEW YORK PIZZA SUPREMA,"413 8 AVENUE, MANHATTAN, NY 10001",NY Pizza Suprema,0x89c25941e2fda08d:0xfecb69a95e026dfb,,40.7501778,-73.99527379999999,7,6,0,People typically spend 30 min here,4.6,8656,6,6,68,East Chelsea,2085.0,139.695,1.8,0.5,0.5,303
7,40365968,NANCY WHISKEY PUB,"1 LISPENARD STREET, MANHATTAN, NY 10013",Nancy Whiskey Pub,0x89c2598ae7094e4f:0x392d6010201927f1,,40.7206329,-74.0049666,7,6,0,People typically spend 45 min to 2.5 hr here,4.5,1067,6,6,231,TriBeCa/Civic Center,560.0,33.6,1.2,0.2,0.8,50
8,40368313,RED FLAME DINER,"67 WEST   44 STREET, MANHATTAN, NY 10036",The Red Flame,0x89c258fff41099b3:0x1e89923de66beed3,,40.756077,-73.982699,7,5,0,People typically spend 45 min to 1.5 hr here,4.2,3409,6,6,161,Midtown Center,1800.0,108.0,1.2,0.2,0.8,60
9,40368374,JIMMY'S CORNER,"140 WEST   44 STREET, MANHATTAN, NY 10036",Jimmy's Corner,0x89c2585515b73fab:0x7833c29064fdfca3,,40.7567299,-73.9847643,7,6,0,People typically spend 45 min to 2.5 hr here,4.6,2269,6,6,230,Times Sq/Theatre District,3000.0,180.0,1.2,0.2,0.8,118
