restaurant_id,name,cuisine,address,zipcode,inspection_grade,inspection_score,lat,lon,pluto_bbl,pluto_address,pluto_zipcode,pluto_landuse,pluto_lotarea,pluto_bldgarea,pluto_comarea,pluto_retailarea,pluto_commercial_area_proxy,restaurant_count_in_bbl,raw_estimated_area_sqft,estimated_area_sqft,match_distance_m,match_quality
50111559,DOUGH DOUGHNUTS,Donuts,"10 ROCKEFELLER PLZ, MANHATTAN, NY 10020",10020,Z,42.0,40.758097016789,-73.979165292282,1012640045.0,10 WEST 49 STREET,10020.0,5.0,6376.0,44867.0,44867.0,9017.0,44867.0,1,13460.1,8000.0,50.77895676871394,acceptable
41223822,CHIRPING CHICKEN,Chicken,"355 AMSTERDAM AVENUE, MANHATTAN, NY 10024",10024,A,10.0,40.781734888276,-73.979342023471,1011480061.0,355 AMSTERDAM AVENUE,10024.0,4.0,2717.0,15525.0,3375.0,3375.0,3375.0,1,1687.5,1687.5,28.904193616993354,good
50125310,PREVITI PIZZA,Pizza,"344 E 34TH ST, MANHATTAN, NY 10016",10016,,35.0,40.744196612185,-73.974525052212,1009390044.0,328 EAST 34 STREET,10016.0,4.0,2798.0,13044.0,2000.0,2000.0,2000.0,1,1600.0,1600.0,28.938830021935217,good
40885315,PATSY'S PIZZERIA,Pizza,"204 EAST   60 STREET, MANHATTAN, NY 10022",10022,A,11.0,40.761996838475,-73.965731893844,1014140045.0,1009 3 AVENUE,10022.0,4.0,2637.0,10400.0,8800.0,5200.0,8800.0,3,1466.6666666666667,1466.6666666666667,14.112891650523625,good
50073861,JOE & THE JUICE,"Juice, Smoothies, Fruit Salads","343 AMSTERDAM AVENUE, MANHATTAN, NY 10024",10024,A,9.0,40.781347927802,-73.979620181908,1011480001.0,341 AMSTERDAM AVENUE,10024.0,4.0,10216.0,125040.0,6200.0,5000.0,6200.0,1,3100.0,3100.0,28.925952862343898,good
50171757,INDAY ROCKEFELLER,Indian,"1 ROCKEFELLER PLAZA, MANHATTAN, NY 10020",10020,N,66.0,40.757896671605,-73.97928808179,1012630051.0,22 WEST 48 STREET,10036.0,5.0,6727.0,80604.0,80604.0,5500.0,80604.0,4,3022.65,3022.65,36.05399077519487,good
40367752,GRIFFIS FACULTY CLUB,American,"521 EAST   68 STREET, MANHATTAN, NY 10065",10065,A,11.0,40.764156112386,-73.955283592822,1014630021.0,437 EAST 68 STREET,10065.0,8.0,42677.0,733747.0,733747.0,0.0,733747.0,2,18343.675,8000.0,91.28951541196733,acceptable
41364268,LAVAGNA,Italian,"545 EAST    5 STREET, MANHATTAN, NY 10009",10009,,27.0,40.724408475977,-73.983321210016,1004000017.0,522 EAST 5 STREET,10009.0,2.0,2348.0,6812.0,0.0,0.0,2043.6,1,1634.88,1634.88,23.039211463293913,good
50007666,BIBI WINE BAR,New American,"211 EAST    4 STREET, MANHATTAN, NY 10009",10009,A,13.0,40.723749775135,-73.983620818689,1004000052.0,211 EAST 4 STREET,10009.0,2.0,1964.0,5815.0,800.0,800.0,800.0,1,640.0,640.0,23.302125238764102,good
50154496,NIGHTLY'S,American,"1496 2 AVENUE, MANHATTAN, NY 10075",10075,A,13.0,40.772549706788,-73.955613702549,1014320025.0,1491 2 AVENUE,10075.0,4.0,3028.0,15572.0,2832.0,2832.0,2832.0,4,566.4,566.4,23.13310983480225,good
