restaurant_id,name,cuisine,address,zipcode,inspection_grade,inspection_score,inspection_date,lat,lon
50180332,HANI'S BAKERY & CAFE,Other,"67 COOPER SQUARE, MANHATTAN, NY 10003",10003,N,0.0,2026-06-21,40.729149479607,-73.990182515985
50140956,THE FIFTH AVENUE HOTEL & CAFE CARMELLINI,American,"250 5 AVENUE, MANHATTAN, NY 10001",10001,,0.0,2026-06-21,40.74481355384,-73.987206469973
50100305,ERNESTO'S,Spanish,"259 EAST BROADWAY, MANHATTAN, NY 10002",10002,,0.0,2026-06-21,40.714434281522,-73.985462810643
50144506,NAKS,Filipino,"201 1 AVENUE, MANHATTAN, NY 10003",10003,,0.0,2026-06-21,40.730191710925,-73.983409959419
40732665,KATZ'S DELICATESSEN,Sandwiches,"205 EAST HOUSTON STREET, MANHATTAN, NY 10002",10002,,0.0,2026-06-21,40.72250411745,-73.987300961167
50139591,ARCH CAFE,American,"550 MADISON AVENUE, MANHATTAN, NY 10022",10022,,0.0,2026-06-21,40.761082088223,-73.973251536579
41169084,THINK COFFEE,Coffee/Tea,"248 MERCER STREET, MANHATTAN, NY 10012",10012,,0.0,2026-06-21,40.728274231242,-73.99550083016
50075411,SUSHI NOZ,Japanese,"181 EAST   78 STREET, MANHATTAN, NY 10075",10075,,0.0,2026-06-21,40.773846262001,-73.958364016281
50137007,LEO CAFE @ ASIA SOCIETY,Asian/Asian Fusion,"725 PARK AVENUE, MANHATTAN, NY 10021",10021,,0.0,2026-06-21,40.770024908032,-73.964594123486
50108692,IN COMMON CAFE,Australian,"441 9 AVENUE, MANHATTAN, NY 10001",10001,A,2.0,2026-06-18,40.753751141047,-73.996047728584
50117865,MAGNOLIA BAGERY,Bakery Products/Desserts,"20 HUDSON YARDS, MANHATTAN, NY 10001",10001,A,0.0,2026-06-18,40.753037571144,-74.000281528635
41312523,FIVE GUYS FAMOUS BURGERS AND FRIES,Hamburgers,"296 BLEECKER STREET, MANHATTAN, NY 10014",10014,A,13.0,2026-06-18,40.732476494773,-74.003723686622
41235974,THE FAMOUS JIMBO'S HAMBURGER PALACE,Hamburgers,"3869 10 AVENUE, MANHATTAN, NY 10034",10034,,39.0,2026-06-18,40.86426732291,-73.91906199186
50105369,RALPH'S FAMOUS ITALIAN ICES AND ICE CREAM,Frozen Desserts,"145 AVENUE A, MANHATTAN, NY 10009",10009,,16.0,2026-06-18,40.727345269225,-73.982602491174
50106215,KARIBBEAN,Caribbean,"125 AVENUE D, MANHATTAN, NY 10009",10009,Z,33.0,2026-06-18,40.724085987108,-73.975748586975
50161736,ESCHEL,Jewish/Kosher,"507 COLUMBUS AVE, MANHATTAN, NY 10024",10024,N,16.0,2026-06-18,40.785452690359,-73.972909486462
50089183,DUNKIN,American,"175 VARICK STREET, MANHATTAN, NY 10014",10014,,23.0,2026-06-18,40.727384882674,-74.005516550541
50080773,PLOWSHARES COFFEE ROASTERS,Coffee/Tea,"1351 AMSTERDAM AVENUE, MANHATTAN, NY 10027",10027,Z,24.0,2026-06-18,40.813863795274,-73.955893118121
41081510,CHOP'T,Salads,"60 EAST   56 STREET, MANHATTAN, NY 10022",10022,A,9.0,2026-06-17,40.761350839717,-73.97226234471
40564625,WAKAMBA,American,"543 8 AVENUE, MANHATTAN, NY 10018",10018,,,2026-06-17,40.754253219151,-73.991969068086
50154496,NIGHTLY'S,American,"1496 2 AVENUE, MANHATTAN, NY 10075",10075,A,13.0,2026-06-17,40.772549706788,-73.955613702549
50007666,BIBI WINE BAR,New American,"211 EAST    4 STREET, MANHATTAN, NY 10009",10009,A,13.0,2026-06-17,40.723749775135,-73.983620818689
50086327,ETC.,American,"20 EAST   46 STREET, MANHATTAN, NY 10017",10017,,37.0,2026-06-17,40.75558809138,-73.978011046346
50119902,MASSERIA EAST,Italian,"1404 3 AVENUE, MANHATTAN, NY 10075",10075,N,42.0,2026-06-17,40.774800906366,-73.956926427738
50015433,FRUCES,"Juice, Smoothies, Fruit Salads","1496 AMSTERDAM AVENUE, MANHATTAN, NY 10031",10031,Z,22.0,2026-06-17,40.818097718134,-73.952830188244
50182935,SAVOUR,Korean,"3360 BROADWAY, MANHATTAN, NY 10031",10031,N,22.0,2026-06-17,40.820541306275,-73.954736122649
50060293,AOC EAST,French,"1590 1 AVENUE, MANHATTAN, NY 10028",10028,A,8.0,2026-06-17,40.774675000757,-73.950965542193
50164638,SHAWARMA BAY,Afghan,"401 EAST   57 STREET, MANHATTAN, NY 10022",10022,Z,55.0,2026-06-17,40.758166916485,-73.962582672855
50127777,MATTO ESPRESSO,Coffee/Tea,"1353 2 AVENUE, MANHATTAN, NY 10021",10021,A,8.0,2026-06-17,40.768296500785,-73.95873934696
40932950,HOTEL CARLYLE - EMPLOYEE CAFETERIA,American,"35 EAST   76 STREET, MANHATTAN, NY 10021",10021,A,10.0,2026-06-17,40.77425965477,-73.963284863567
41562415,THE COMFORT DINER,American,"214 EAST   45 STREET, MANHATTAN, NY 10017",10017,Z,26.0,2026-06-17,40.752441405529,-73.972489845978
40367752,GRIFFIS FACULTY CLUB,American,"521 EAST   68 STREET, MANHATTAN, NY 10065",10065,A,11.0,2026-06-17,40.764156112386,-73.955283592822
50181856,SUNDAY MORNING,Bakery Products/Desserts,"11 WEST   25 STREET, MANHATTAN, NY 10010",10010,Z,23.0,2026-06-17,40.743257522665,-73.989678804521
50186471,PIZZA COFFEE SHOP MAMA VIOLA,Pizza,"3594 BROADWAY, MANHATTAN, NY 10031",10031,N,7.0,2026-06-17,40.828150151162,-73.949180694828
50163161,SUPERHET COFFEE,American,"390 MANHATTAN AVENUE, MANHATTAN, NY 10026",10026,,21.0,2026-06-17,40.805393755815,-73.956538110413
41223822,CHIRPING CHICKEN,Chicken,"355 AMSTERDAM AVENUE, MANHATTAN, NY 10024",10024,A,10.0,2026-06-17,40.781734888276,-73.979342023471
50111559,DOUGH DOUGHNUTS,Donuts,"10 ROCKEFELLER PLAZA, MANHATTAN, NY 10020",10020,Z,42.0,2026-06-17,40.758097016789,-73.979165292282
50125310,PREVITI PIZZA,Pizza,"344 EAST   34 STREET, MANHATTAN, NY 10016",10016,,,2026-06-17,40.744196612185,-73.974525052212
50073861,JOE & THE JUICE,"Juice, Smoothies, Fruit Salads","343 AMSTERDAM AVENUE, MANHATTAN, NY 10024",10024,A,9.0,2026-06-17,40.781347927802,-73.979620181908
50178746,PURA VIDA MIAMI,Californian,"100 5 AVENUE, MANHATTAN, NY 10011",10011,N,35.0,2026-06-17,40.736873453731,-73.992992365827
50135850,CAVIAR KASPIA AT THE MARK,French,"992 MADISON AVENUE, MANHATTAN, NY 10075",10075,,18.0,2026-06-17,40.775093976721,-73.963024442778
40885315,PATSY'S PIZZERIA,Pizza,"204 EAST   60 STREET, MANHATTAN, NY 10022",10022,A,11.0,2026-06-17,40.761996838475,-73.965731893844
50084817,456 NEW SHANGHAI RESTAURANT,Chinese,"69 MOTT STREET, MANHATTAN, NY 10013",10013,,40.0,2026-06-17,40.716167137274,-73.998171080067
50180580,DUNKIN' BASKIN ROBINS,Donuts,"201 WEST  145 STREET, MANHATTAN, NY 10039",10039,,,2026-06-17,40.821846310549,-73.939560259174
50171757,INDAY ROCKEFELLER,Indian,"1 ROCKEFELLER PLAZA, MANHATTAN, NY 10020",10020,N,66.0,2026-06-17,40.757896671605,-73.97928808179
50080585,BLUESTONE LANE,Coffee/Tea,"400 MADISON AVENUE, MANHATTAN, NY 10017",10017,,,2026-06-17,40.756257567292,-73.976765541216
50117809,MING WONG,Chinese,"61 MOTT STREET, MANHATTAN, NY 10013",10013,Z,42.0,2026-06-17,40.71596128159,-73.998297342146
41364268,LAVAGNA,Italian,"545 EAST    5 STREET, MANHATTAN, NY 10009",10009,,27.0,2026-06-17,40.724408475977,-73.983321210016
50152959,GONG CHA,Coffee/Tea,"42 MOTT STREET, MANHATTAN, NY 10013",10013,,27.0,2026-06-17,40.715168049306,-73.998748272846
50171765,SEMICOLON CAFE,Coffee/Tea,"516A 3 AVENUE, MANHATTAN, NY 10016",10016,,,2026-06-17,40.746091190562,-73.977862616496
41396810,PEACEFOOD,Vegan,"460 AMSTERDAM AVENUE, MANHATTAN, NY 10024",10024,,28.0,2026-06-17,40.78523396425,-73.976809556989
50008826,RAY'S PIZZA BAGEL CAFE,Pizza,"2 SAINT MARKS PLACE, MANHATTAN, NY 10003",10003,Z,22.0,2026-06-16,40.729401946523,-73.989597973514
50139934,LE CAFE COFFEE,Coffee/Tea,"561 10 AVENUE, MANHATTAN, NY 10036",10036,A,13.0,2026-06-16,40.759188500462,-73.995798337059
40388672,NECTAR,American,"1090 MADISON AVENUE, MANHATTAN, NY 10028",10028,Z,18.0,2026-06-16,40.778128941659,-73.960812998275
50105437,SWEETGREEN,Salads,"1740 BROADWAY, MANHATTAN, NY 10019",10019,A,13.0,2026-06-16,40.765091155007,-73.982094413718
50129506,TERIYAKI ONE,Asian/Asian Fusion,"42 WEST   56 STREET, MANHATTAN, NY 10019",10019,A,12.0,2026-06-16,40.762877744595,-73.975889632694
50158081,THE MANNER,Seafood,"58 THOMPSON STREET, MANHATTAN, NY 10012",10012,A,13.0,2026-06-16,40.724129676801,-74.003236169522
41270498,STARBUCKS,Coffee/Tea,"301 WEST  145 STREET, MANHATTAN, NY 10039",10039,A,4.0,2026-06-16,40.822901579482,-73.942059594277
