restaurant_id,name,cuisine,address,taxi_zone_id,taxi_zone_name,estimated_area_sqft,capacity,turnover_rate,takeaway_ratio,eat_in_ratio,effective_supply_index,dropoff_count,effective_demand,congestion_score,estimated_wait_minutes,nyc_datetime,weather_factor
50180332,HANI'S BAKERY & CAFE,Other,"67 COOPER SQUARE, MANHATTAN, NY 10003",79,East Village,1272.5,76.35,1.1,0.2,0.8,67.188,259,5.777138685161607,0.08598468007920472,0.0,,
50140956,THE FIFTH AVENUE HOTEL & CAFE CARMELLINI,American,"250 5 AVENUE, MANHATTAN, NY 10001",164,Midtown South,2107.5,126.45,1.2,0.2,0.8,121.392,548,13.082724950956568,0.10777254638655404,0.0,,
50100305,ERNESTO'S,Spanish,"259 EAST BROADWAY, MANHATTAN, NY 10002",232,Two Bridges/Seward Park,1600.8000000000002,88.04400000000001,0.9,0.1,0.9,71.31564000000002,89,11.175148939032674,0.15669983385177041,0.0,,
40732665,KATZ'S DELICATESSEN,Sandwiches,"205 EAST HOUSTON STREET, MANHATTAN, NY 10002",148,Lower East Side,3155.0,261.865,2.5,0.6,0.4,261.865,146,2.9209761855459875,0.01115451162066709,0.0,,
50139591,ARCH CAFE,American,"550 MADISON AVENUE, MANHATTAN, NY 10022",161,Midtown Center,896.3928571428571,53.78357142857143,1.2,0.2,0.8,51.63222857142858,1630,34.19933219824035,0.6623640533146584,0.0,,
41169084,THINK COFFEE,Coffee/Tea,"248 MERCER STREET, MANHATTAN, NY 10012",114,Greenwich Village South,5958.5,494.55550000000005,3.0,0.7,0.3,445.09995000000015,200,4.5085068363552585,0.010129200949933283,0.0,,
50075411,SUSHI NOZ,Japanese,"181 EAST   78 STREET, MANHATTAN, NY 10075",236,Upper East Side North,710.4000000000001,39.072,1.0,0.15,0.85,33.2112,1,0.10873413287835952,0.0032740199956147182,0.0,,
50075411,SUSHI NOZ,Japanese,"181 EAST   78 STREET, MANHATTAN, NY 10075",236,Upper East Side North,710.4000000000001,39.072,1.0,0.15,0.85,33.2112,1501,37.798141739313465,1.138114302985543,1.9660534209532403,,
50137007,LEO CAFE @ ASIA SOCIETY,Asian/Asian Fusion,"725 PARK AVENUE, MANHATTAN, NY 10021",237,Upper East Side South,7639.95,458.397,1.1,0.2,0.8,403.38936000000007,1850,82.10657817184774,0.2035417547251314,0.0,,
50117865,MAGNOLIA BAGERY,Bakery Products/Desserts,"20 HUDSON YARDS, MANHATTAN, NY 10001",246,West Chelsea/Hudson Yards,4230.214705882354,351.10782058823537,3.0,0.7,0.3,315.99703852941184,594,15.273203102025906,0.048333374176873285,0.0,,
41312523,FIVE GUYS FAMOUS BURGERS AND FRIES,Hamburgers,"296 BLEECKER STREET, MANHATTAN, NY 10014",249,West Village,200.0,16.6,2.5,0.6,0.4,16.6,277,5.144009504189353,0.30988009061381644,0.0,,
41235974,THE FAMOUS JIMBO'S HAMBURGER PALACE,Hamburgers,"3869 10 AVENUE, MANHATTAN, NY 10034",127,Inwood,1248.0,103.584,2.5,0.6,0.4,103.58400000000002,16,1.3100253749880397,0.012646985779541623,0.0,,
50105369,RALPH'S FAMOUS ITALIAN ICES AND ICE CREAM,Frozen Desserts,"145 AVENUE A, MANHATTAN, NY 10009",79,East Village,200.0,16.6,3.0,0.8,0.1999999999999999,9.96,259,1.9057450491757133,0.1913398643750716,0.0,,
50161736,ESCHEL,Jewish/Kosher,"507 COLUMBUS AVE, MANHATTAN, NY 10024",239,Upper West Side South,1000.0,60.0,1.1,0.15,0.85,56.1,687,30.132833246789477,0.5371271523491885,0.0,,
50089183,DUNKIN,American,"175 VARICK STREET, MANHATTAN, NY 10014",125,Hudson Sq,1564.65,93.879,1.2,0.2,0.8,90.12384000000002,132,20.855538304222513,0.23140978351812916,0.0,,
50080773,PLOWSHARES COFFEE ROASTERS,Coffee/Tea,"1351 AMSTERDAM AVENUE, MANHATTAN, NY 10027",166,Morningside Heights,996.0,82.668,3.0,0.7,0.3,74.40120000000002,172,7.594886675123894,0.10208016369526153,0.0,,
41081510,CHOP'T,Salads,"60 EAST   56 STREET, MANHATTAN, NY 10022",161,Midtown Center,540.0,44.82,2.5,0.6,0.4,44.82,1630,19.642358319057912,0.43824985093837376,0.0,,
