order_id,user_id,restaurant_id,order_time,reservation_time,party_size,cuisine,estimated_travel_minutes,estimated_wait_minutes,actual_wait_minutes,order_status,total_amount,discount_used,discount_amount,created_at
1,1,50165007,2026-05-03 11:22:46,2026-05-03 12:07:46,4,American,42.9,0.0,2.1,completed,271.14,False,0.0,2026-05-03 11:22:46
2,1,40384671,2026-03-25 12:23:39,2026-03-25 12:53:39,2,French,25.4,0.0,4.3,cancelled,16.44,False,0.0,2026-03-25 12:23:39
3,2,50137589,2026-03-11 18:53:59,2026-03-11 19:53:59,2,Italian,31.0,0.0,0.4,completed,19.51,False,0.0,2026-03-11 18:53:59
4,2,50128782,2026-05-30 12:33:44,2026-05-30 13:33:44,3,Latin American,40.3,0.0,0.0,completed,136.81,False,0.0,2026-05-30 12:33:44
5,2,50136413,2026-03-28 19:16:38,2026-03-28 19:46:38,1,Pizza,42.4,0.0,2.4,completed,25.99,False,0.0,2026-03-28 19:16:38
6,2,41127243,2026-05-08 13:08:52,2026-05-08 13:38:52,1,Latin American,11.1,0.0,0.0,completed,8.56,False,0.0,2026-05-08 13:08:52
7,2,50104409,2026-03-28 20:42:22,2026-03-28 22:42:22,2,Latin American,22.7,0.0,2.4,completed,35.87,True,3.59,2026-03-28 20:42:22
8,2,40729164,2026-04-04 19:16:35,2026-04-04 19:46:35,4,American,33.4,0.0,0.0,completed,22.24,True,2.22,2026-04-04 19:16:35
9,2,50056074,2026-05-30 20:41:28,2026-05-30 21:26:28,2,Coffee/Tea,25.6,0.0,0.0,cancelled,21.29,False,0.0,2026-05-30 20:41:28
10,2,40402026,2026-04-20 16:03:16,2026-04-20 18:03:16,2,Latin American,35.8,0.0,0.8,completed,17.33,False,0.0,2026-04-20 16:03:16
11,2,41047105,2026-04-13 18:33:27,2026-04-13 18:48:27,2,Pizza,13.6,0.0,4.7,completed,43.9,False,0.0,2026-04-13 18:33:27
12,2,41301130,2026-03-29 13:40:43,2026-03-29 14:25:43,3,Latin American,8.8,5.1,6.1,completed,81.85,False,0.0,2026-03-29 13:40:43
13,4,50165996,2026-04-30 10:27:05,2026-04-30 11:27:05,2,Bagels/Pretzels,26.6,0.0,0.0,completed,26.63,False,0.0,2026-04-30 10:27:05
14,4,50112305,2026-05-16 17:15:44,2026-05-16 17:45:44,1,American,8.3,0.0,0.0,completed,7.5,False,0.0,2026-05-16 17:15:44
15,4,50051556,2026-05-17 17:02:51,2026-05-17 17:32:51,1,Latin American,44.8,0.0,0.0,completed,6.88,True,1.38,2026-05-17 17:02:51
16,4,50114428,2026-03-28 18:23:39,2026-03-28 19:23:39,2,Asian/Asian Fusion,19.7,0.0,4.5,completed,25.34,False,0.0,2026-03-28 18:23:39
17,5,50151764,2026-03-03 20:42:24,2026-03-03 21:27:24,2,Sandwiches,35.6,0.0,0.0,completed,50.06,False,0.0,2026-03-03 20:42:24
18,5,50043445,2026-03-31 19:54:45,2026-03-31 20:09:45,1,American,36.8,0.0,0.9,completed,43.36,False,0.0,2026-03-31 19:54:45
19,5,40394207,2026-05-07 20:02:45,2026-05-07 20:47:45,2,French,7.4,7.6,6.8,completed,77.4,False,0.0,2026-05-07 20:02:45
20,6,50090465,2026-03-19 18:26:01,2026-03-19 18:56:01,2,Chinese,13.3,0.0,1.2,cancelled,30.32,False,0.0,2026-03-19 18:26:01
21,6,50002626,2026-05-11 13:17:53,2026-05-11 14:17:53,1,Chinese,42.5,0.0,2.5,completed,22.11,False,0.0,2026-05-11 13:17:53
22,6,50182125,2026-04-17 16:41:37,2026-04-17 17:26:37,2,Chinese,41.0,0.0,0.0,completed,45.61,False,0.0,2026-04-17 16:41:37
23,6,41283714,2026-04-14 20:19:34,2026-04-14 20:34:34,2,American,30.2,0.0,3.8,completed,110.52,False,0.0,2026-04-14 20:19:34
24,6,50150589,2026-03-24 13:49:09,2026-03-24 14:19:09,4,Korean,14.3,0.0,1.6,completed,88.09,False,0.0,2026-03-24 13:49:09
25,7,41289647,2026-05-06 12:48:32,2026-05-06 13:33:32,2,French,42.6,5.1,3.2,completed,130.68,False,0.0,2026-05-06 12:48:32
26,7,50152655,2026-03-19 08:45:51,2026-03-19 09:15:51,2,French,14.0,5.8,3.3,completed,34.11,False,0.0,2026-03-19 08:45:51
27,7,50157084,2026-03-18 17:18:37,2026-03-18 17:33:37,3,French,42.6,0.0,5.6,completed,58.07,False,0.0,2026-03-18 17:18:37
28,7,40600780,2026-05-02 11:34:23,2026-05-02 12:04:23,2,French,21.0,0.0,0.0,completed,155.3,False,0.0,2026-05-02 11:34:23
29,7,50121731,2026-04-24 20:41:24,2026-04-24 21:11:24,2,Asian/Asian Fusion,9.8,0.0,0.0,completed,154.59,False,0.0,2026-04-24 20:41:24
30,7,50048250,2026-05-27 19:26:12,2026-05-27 19:56:12,2,French,31.6,1.5,2.1,cancelled,92.58,False,0.0,2026-05-27 19:26:12
31,8,41243535,2026-04-27 11:15:28,2026-04-27 12:45:28,1,Chinese,24.9,0.0,0.6,completed,84.09,False,0.0,2026-04-27 11:15:28
32,8,50099221,2026-05-04 13:48:55,2026-05-04 14:48:55,4,Other,12.6,0.0,0.0,completed,249.13,True,37.37,2026-05-04 13:48:55
33,8,50176207,2026-04-06 19:42:54,2026-04-06 19:57:54,3,Other,8.4,0.0,0.0,cancelled,158.72,False,0.0,2026-04-06 19:42:54
34,8,50085687,2026-05-14 15:32:22,2026-05-14 17:02:22,4,Frozen Desserts,7.2,0.0,0.0,completed,449.39,False,0.0,2026-05-14 15:32:22
