promotion_id,promotion_name,restaurant_id,cuisine,target_segment,discount_type,discount_value,start_time,end_time,exposed_users,total_exposures,clicked_users,click_rate,redeemed_users,redeem_rate,ordered_after_exposure_users,order_after_exposure_rate
1,Coffee/Tea Promo 1,50150310,Coffee/Tea,dormant_users,percentage,0.25,2026-05-05,2026-05-12,141,141,20,0.14184397163120568,0,0.0,27,0.19148936170212766
2,American Promo 2,50001835,American,all_users,fixed,12.0,2026-03-14,2026-03-17,450,450,72,0.16,0,0.0,120,0.26666666666666666
4,Korean Promo 4,50135792,Korean,all_users,percentage,0.25,2026-04-21,2026-04-24,450,450,57,0.12666666666666668,0,0.0,116,0.2577777777777778
5,Chinese Promo 5,50146135,Chinese,all_users,percentage,0.25,2026-04-29,2026-05-04,450,450,86,0.19111111111111112,0,0.0,124,0.27555555555555555
6,Latin American Promo 6,40391272,Latin American,all_users,percentage,0.1,2026-04-28,2026-05-05,450,450,89,0.19777777777777777,0,0.0,118,0.26222222222222225
7,Donuts Promo 7,50094935,Donuts,dormant_users,fixed,10.0,2026-05-02,2026-05-16,136,136,20,0.14705882352941177,0,0.0,22,0.16176470588235295
8,Japanese Promo 8,50074873,Japanese,all_users,percentage,0.2,2026-04-23,2026-04-30,450,450,92,0.20444444444444446,0,0.0,110,0.24444444444444444
9,Sandwiches Promo 9,50044606,Sandwiches,dormant_users,percentage,0.1,2026-05-10,2026-05-15,144,144,24,0.16666666666666666,0,0.0,23,0.1597222222222222
10,Other Promo 10,50181305,Other,all_users,percentage,0.1,2026-04-20,2026-04-25,450,450,74,0.16444444444444445,0,0.0,123,0.2733333333333333
11,"Juice, Smoothies, Fruit Salads Promo 11",50063197,"Juice, Smoothies, Fruit Salads",new_users,percentage,0.2,2026-03-05,2026-03-12,516,516,119,0.23062015503875968,0,0.0,128,0.24806201550387597
12,Japanese Promo 12,41628657,Japanese,all_users,fixed,10.0,2026-03-22,2026-03-29,450,450,88,0.19555555555555557,0,0.0,121,0.2688888888888889
13,Italian Promo 13,50000207,Italian,active_users,percentage,0.2,2026-05-08,2026-05-15,334,334,90,0.2694610778443114,0,0.0,97,0.2904191616766467
14,Italian Promo 14,50047472,Italian,new_users,fixed,10.0,2026-03-23,2026-04-02,256,256,63,0.24609375,0,0.0,50,0.1953125
15,Jewish/Kosher Promo 15,50053408,Jewish/Kosher,all_users,percentage,0.15,2026-03-28,2026-04-02,450,450,79,0.17555555555555555,0,0.0,110,0.24444444444444444
16,Indian Promo 16,40557912,Indian,new_users,percentage,0.25,2026-03-01,2026-03-04,600,600,148,0.24666666666666667,0,0.0,147,0.245
17,Jewish/Kosher Promo 17,41177892,Jewish/Kosher,dormant_users,percentage,0.15,2026-04-11,2026-04-18,63,63,5,0.07936507936507936,0,0.0,11,0.1746031746031746
18,Pizza Promo 18,50107938,Pizza,new_users,fixed,8.0,2026-04-06,2026-04-16,168,168,41,0.24404761904761904,0,0.0,28,0.16666666666666666
19,American Promo 19,50082539,American,all_users,percentage,0.25,2026-04-10,2026-04-13,450,450,74,0.16444444444444445,0,0.0,101,0.22444444444444445
20,Bakery Products/Desserts Promo 20,50013984,Bakery Products/Desserts,dormant_users,percentage,0.2,2026-05-10,2026-05-15,144,144,21,0.14583333333333334,0,0.0,19,0.13194444444444445
