user_id,age_group,age,gender,budget_tier,preferred_cuisine_1,preferred_cuisine_2,dietary_restriction,signup_date,acquisition_channel,simulated_order_count
1,25-34,32,female,low,Thai,French,none,2026-01-07,paid_search,2
2,65+,83,female,low,Pizza,Latin American,vegetarian,2025-10-20,organic,10
3,45-54,52,male,medium,Korean,Japanese,none,2025-10-12,restaurant_qr,0
4,35-44,39,female,low,Asian/Asian Fusion,Latin American,none,2025-09-27,paid_search,4
5,25-34,25,male,medium,Thai,Sandwiches,none,2026-01-18,organic,3
6,25-34,31,male,medium,Korean,Chinese,none,2025-12-03,organic,5
7,18-24,22,male,high,Asian/Asian Fusion,French,none,2025-11-07,restaurant_qr,6
8,55-64,60,male,high,Chinese,Other,vegetarian,2025-11-23,organic,4
9,35-44,40,female,medium,Pizza,Thai,none,2026-01-14,referral,1
10,45-54,52,male,high,Donuts,Bakery Products/Desserts,none,2025-12-21,organic,2
11,18-24,18,female,medium,"Juice, Smoothies, Fruit Salads",Coffee/Tea,none,2025-09-17,restaurant_qr,3
12,65+,82,female,medium,Mediterranean,Bakery Products/Desserts,halal,2025-12-25,referral,4
13,55-64,63,male,low,Sandwiches,Mexican,none,2025-12-30,social_media,3
14,25-34,34,male,medium,Korean,Bakery Products/Desserts,none,2025-11-13,organic,3
15,25-34,33,male,medium,Japanese,Asian/Asian Fusion,kosher,2025-09-16,organic,1
16,25-34,34,female,high,Chicken,Indian,none,2026-01-24,paid_search,1
17,25-34,34,female,medium,Italian,Chinese,none,2025-11-03,paid_search,3
18,35-44,41,male,high,Mexican,Chicken,none,2025-12-06,organic,6
19,35-44,35,female,medium,Italian,Thai,none,2025-10-27,organic,1
20,25-34,31,male,low,Mexican,Sandwiches,none,2025-10-17,social_media,5
21,35-44,44,male,high,Chicken,Donuts,none,2026-01-09,paid_search,5
22,25-34,29,female,medium,French,Latin American,none,2025-12-01,organic,0
23,25-34,30,female,medium,Thai,Coffee/Tea,none,2026-01-28,organic,4
24,25-34,34,female,medium,Donuts,Latin American,none,2025-12-11,restaurant_qr,0
25,35-44,41,female,low,Mexican,Bakery Products/Desserts,none,2026-01-19,paid_search,4
26,45-54,49,male,medium,"Juice, Smoothies, Fruit Salads",French,none,2025-11-10,referral,5
27,25-34,31,female,medium,Chinese,Pizza,vegetarian,2025-10-27,paid_search,4
28,35-44,43,male,medium,Latin American,Italian,none,2025-09-28,organic,2
29,35-44,37,female,high,Chinese,Italian,halal,2025-10-17,organic,9
30,18-24,19,male,medium,Latin American,Chicken,none,2025-10-02,organic,3
31,35-44,41,female,low,Pizza,"Juice, Smoothies, Fruit Salads",none,2025-11-16,referral,5
